Character;100 symbols;1000 symbols;10000 symbols;100000 symbols;All symbols
ध;0;0;0;0;1E-05
ե;0;0;0;0;1E-05
ண;0;0;0;0;1E-05
苻;0;0;0;0;1E-05
ى;0;0;0;0;1E-05
ո;0;0;0;0;1E-05
ര;0;0;0;0;1E-05
э;0;0;0;0;9E-06
भ;0;0;0;0;9E-06
張;0;0;0;0;9E-06
ड;0;0;0;0;9E-06
ก;0;0;0;0;9E-06
上;0;0;0;0;9E-06
ן;0;0;0;0;9E-06
ǐ;0;0;0;0;9E-06
ח;0;0;0;0;9E-06
生;0;0;0;0;9E-06
≠;0;0;0;0;9E-06
」;0;0;0;0;9E-06
ُ;0;0;0;0;9E-06
ச;0;0;0;0;9E-06
ứ;0;0;0;0;9E-06
ด;0;0;0;0;9E-06
Х;0;0;0;0;9E-06
地;0;0;0;0;9E-06
五;0;0;0;0;9E-06
ℓ;0;0;0;0;9E-06
「;0;0;0;0;9E-06
ỳ;0;0;0;0;9E-06
―;0;0;0;0;9E-06
ト;0;0;0;0;9E-06
金;0;0;0;0;9E-06
ッ;0;0;0;0;9E-06
ի;0;0;0;0;9E-06
之;0;0;0;0;9E-06
ɪ;0;0;0;0;9E-06
ψ;0;0;0;0;9E-06
ļ;0;0;0;0;9E-06
高;0;0;0;0;9E-06
龍;0;0;0;0;9E-06
Θ;0;0;0;0;9E-06
ġ;0;0;0;0;9E-06
ợ;0;0;0;0;9E-06
会;0;0;0;0;8E-06
ク;0;0;0;0;8E-06
成;0;0;0;0;8E-06
Ħ;0;0;0;0;8E-06
ष;0;0;0;0;8E-06
⋅;0;0;0;0;8E-06
神;0;0;0;0;8E-06
元;0;0;0;0;8E-06
ű;0;0;0;0;8E-06
͟;0;0;0;0;8E-06
ћ;0;0;0;0;8E-06
Ν;0;0;0;0;8E-06
和;0;0;0;0;8E-06
ּ;0;0;0;0;8E-06
に;0;0;0;0;8E-06
်;0;0;0;0;8E-06
ẓ;0;0;0;0;8E-06
Œ;0;0;0;0;8E-06
™;0;0;0;0;8E-06
ם;0;0;0;0;8E-06
ე;0;0;0;0;8E-06
ি;0;0;0;0;8E-06
ล;0;0;0;0;8E-06
光;0;0;0;0;8E-06
ച;0;0;0;0;8E-06
ŝ;0;0;0;0;8E-06
⁠;0;0;0;0;8E-06
ท;0;0;0;0;8E-06
Е;0;0;0;0;8E-06
ử;0;0;0;0;8E-06
不;0;0;0;0;8E-06
ラ;0;0;0;0;8E-06
ू;0;0;0;0;8E-06
غ;0;0;0;0;8E-06
ḫ;0;0;0;0;8E-06
〈;0;0;0;0;8E-06
ئ;0;0;0;0;7E-06
ख;0;0;0;0;7E-06
ק;0;0;0;0;7E-06
∗;0;0;0;0;7E-06
〉;0;0;0;0;7E-06
全;0;0;0;0;7E-06
世;0;0;0;0;7E-06
。;0;0;0;0;7E-06
方;0;0;0;0;7E-06
Ñ;0;0;0;0;7E-06
Э;0;0;0;0;7E-06
學;0;0;0;0;7E-06
अ;0;0;0;0;7E-06
社;0;0;0;0;7E-06
щ;0;0;0;0;7E-06
，;0;0;0;0;7E-06
Χ;0;0;0;0;7E-06
ന;0;0;0;0;7E-06
北;0;0;0;0;7E-06
ส;0;0;0;0;7E-06
พ;0;0;0;0;7E-06
♯;0;0;0;0;7E-06
部;0;0;0;0;7E-06
¹;0;0;0;0;7E-06
香;0;0;0;0;7E-06
Ē;0;0;0;0;7E-06
ס;0;0;0;0;7E-06
ै;0;0;0;0;7E-06
る;0;0;0;0;7E-06
り;0;0;0;0;7E-06
ớ;0;0;0;0;7E-06
行;0;0;0;0;7E-06
ห;0;0;0;0;7E-06
บ;0;0;0;0;7E-06
כ;0;0;0;0;7E-06
川;0;0;0;0;7E-06
し;0;0;0;0;7E-06
ḳ;0;0;0;0;7E-06
ḷ;0;0;0;0;7E-06
ক;0;0;0;0;7E-06
ї;0;0;0;0;7E-06
പ;0;0;0;0;7E-06
മ;0;0;0;0;7E-06
ċ;0;0;0;0;7E-06
ں;0;0;0;0;7E-06
ి;0;0;0;0;7E-06
Ľ;0;0;0;0;7E-06
士;0;0;0;0;7E-06
帝;0;0;0;0;7E-06
長;0;0;0;0;7E-06
ꞌ;0;0;0;0;7E-06
동;0;0;0;0;7E-06
←;0;0;0;0;7E-06
ണ;0;0;0;0;7E-06
இ;0;0;0;0;7E-06
ள;0;0;0;0;7E-06
